DestinationPort,FlowDuration,TotalFwdPackets,TotalBackwardPackets,TotalLengthofFwdPackets,TotalLengthofBwdPackets,FwdPacketLengthMax,FwdPacketLengthMin,FwdPacketLengthMean,FwdPacketLengthStd,BwdPacketLengthMax,BwdPacketLengthMin,BwdPacketLengthMean,BwdPacketLengthStd,FlowPackets/s,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,BwdPSHFlags,FwdURGFlags,BwdURGFlags,FwdHeaderLength,BwdHeaderLength,FwdPackets/s,BwdPackets/s,MinPacketLength,MaxPacketLength,PacketLengthMean,PacketLengthStd,PacketLengthVariance,FINFlagCount,SYNFlagCount,RSTFlagCount,PSHFlagCount,ACKFlagCount,URGFlagCount,CWEFlagCount,ECEFlagCount,Down/UpRatio,AveragePacketSize,AvgFwdSegmentSize,AvgBwdSegmentSize,FwdHeaderLength1,FwdAvgBytes/Bulk,FwdAvgPackets/Bulk,FwdAvgBulkRate,BwdAvgBytes/Bulk,BwdAvgPackets/Bulk,BwdAvgBulkRate,SubflowFwdPackets,SubflowFwdBytes,SubflowBwdPackets,SubflowBwdBytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin,Label
123,107015212,14,14,672,672,48,48,48.0,0.0,48,48,48.0,0.0,0.261645045,3963526.37,14300000.0,69000000,0,107000000,8231931.077,20100000.0,69000000,3,107000000,8231934.615,20100000.0,69000000,0,0,0,0,0,304,304,0.130822523,0.130822523,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,49.71428571,48.0,48.0,304,0,0,0,0,0,0,14,672,14,672,-1,-1,13,14,3507671.5,4960455.186,7015243,100,50000000.0,26900000.0,69000000,31000000,Normal
138,75288199,21,0,4935,0,235,235,235.0,0.0,0,0,0.0,0.0,0.278928176,3764409.95,16800000.0,75300000,1,75300000,3764409.95,16800000.0,75300000,1,0,0.0,0.0,0,0,0,0,0,0,420,0,0.278928176,0.0,235,235,235.0,0.0,0.0,0,0,0,0,0,0,0,0,0,246.1904762,235.0,0.0,420,0,0,0,0,0,0,21,4935,0,0,-1,-1,20,20,20.0,0.0,20,20,75300000.0,0.0,75300000,75300000,Normal
137,3378994,205,0,13760,0,68,50,67.12195122,3.886850141,0,0,0.0,0.0,60.66894466,16563.69608,166333.5221,1780399,1,3378994,16563.69608,166333.5221,1780399,1,0,0.0,0.0,0,0,0,0,0,0,3572,0,60.66894466,0.0,50,68,67.12621359,3.877841018,15.03765096,0,0,0,0,0,0,0,0,0,67.45365854,67.12195122,0.0,3572,0,0,0,0,0,0,205,13760,0,0,-1,-1,204,14,0.0,0.0,0,0,0.0,0.0,0,0,Normal
137,3,2,0,124,0,62,62,62.0,0.0,0,0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,93.0,62.0,0.0,40,0,0,0,0,0,0,2,124,0,0,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Normal
138,76354195,42,0,9471,0,237,214,225.5,11.63939903,0,0,0.0,0.0,0.550068009,1862297.439,11900000.0,76400000,1,76400000,1862297.439,11900000.0,76400000,1,0,0.0,0.0,0,0,0,0,0,0,840,0,0.550068009,0.0,214,237,225.7674419,11.63295239,135.3255814,0,0,0,0,0,0,0,0,0,231.1428571,225.5,0.0,840,0,0,0,0,0,0,42,9471,0,0,-1,-1,41,20,35.0,0.0,35,35,76400000.0,0.0,76400000,76400000,Normal
53,25117,1,1,45,77,45,45,45.0,0.0,77,77,77.0,0.0,79.62734403,25117.0,0.0,25117,25117,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,39.81367201,39.81367201,45,77,55.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,83.5,45.0,77.0,32,0,0,0,0,0,0,1,45,1,77,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,25926,1,1,45,106,45,45,45.0,0.0,106,106,106.0,0.0,77.14263674,25926.0,0.0,25926,25926,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,38.57131837,38.57131837,45,106,65.33333333,35.21836642,1240.333333,0,0,0,0,0,0,0,0,1,98.0,45.0,106.0,32,0,0,0,0,0,0,1,45,1,106,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,25525,2,2,68,132,34,34,34.0,0.0,66,66,66.0,0.0,156.7091087,8508.333333,14730.80345,25518,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,78.35455436,78.35455436,34,66,46.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,58.5,34.0,66.0,64,0,0,0,0,0,0,2,68,2,132,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,171,2,2,46,196,23,23,23.0,0.0,98,98,98.0,0.0,23391.81287,57.0,57.41950888,118,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,64,64,11695.90643,11695.90643,23,98,53.0,41.07919181,1687.5,0,0,0,0,0,0,0,0,1,66.25,23.0,98.0,64,0,0,0,0,0,0,2,46,2,196,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,26386,2,2,68,190,34,34,34.0,0.0,95,95,95.0,0.0,151.5955431,8795.333333,15229.63415,26381,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,75.79777155,75.79777155,34,95,58.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,73.0,34.0,95.0,64,0,0,0,0,0,0,2,68,2,190,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
137,1582026,28,0,1400,0,50,50,50.0,0.0,0,0,0.0,0.0,17.69882417,58593.55556,211129.0298,803863,1,1582026,58593.55556,211129.0298,803863,1,0,0.0,0.0,0,0,0,0,0,0,452,0,17.69882417,0.0,50,50,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,51.78571429,50.0,0.0,452,0,0,0,0,0,0,28,1400,0,0,-1,-1,27,14,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,302,2,2,68,190,34,34,34.0,0.0,95,95,95.0,0.0,13245.03311,100.6666667,134.7677014,254,1,1,1.0,0.0,1,1,47,47.0,0.0,47,47,0,0,0,0,40,40,6622.516556,6622.516556,34,95,58.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,73.0,34.0,95.0,40,0,0,0,0,0,0,2,68,2,190,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,257,2,2,68,132,34,34,34.0,0.0,66,66,66.0,0.0,15564.20233,85.66666667,106.6130073,206,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,7782.101167,7782.101167,34,66,46.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,58.5,34.0,66.0,40,0,0,0,0,0,0,2,68,2,132,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Normal
389,487,11,4,172,326,79,0,15.63636364,31.4492376,163,0,81.5,94.10809388,30800.82136,34.78571429,26.81038424,76,1,487,48.7,39.20615031,115,1,268,89.33333333,151.2690759,264,1,0,0,0,0,368,144,22587.26899,8213.552361,0,163,31.125,57.86060836,3347.85,0,0,0,1,0,0,0,0,0,33.2,15.63636364,81.5,368,0,0,0,0,0,0,11,172,4,326,29200,2081,4,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
88,1206,10,7,3150,3152,1575,0,315.0,632.5616351,1576,0,450.2857143,769.0092575,14096.18574,75.375,212.3562651,868,2,1206,134.0,296.3258342,921,2,1113,185.5,337.423621,868,3,0,0,0,0,336,240,8291.873964,5804.311774,0,1576,350.1111111,657.7416701,432624.1046,0,0,0,1,0,0,0,0,0,370.7058824,315.0,450.2857143,336,0,0,0,0,0,0,10,3150,7,3152,29200,2081,3,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
389,27779,17,11,3450,6654,1312,0,202.9411765,425.4526223,3069,0,604.9090909,1009.026507,1007.95565,1028.851852,4994.799986,26015,0,27779,1736.1875,6477.319829,26015,1,27614,2761.4,8367.297827,26571,3,0,0,0,0,560,368,611.9730732,395.9825768,0,3069,348.4137931,714.201428,510083.6798,0,0,0,1,0,0,0,0,0,360.8571429,202.9411765,604.9090909,560,0,0,0,0,0,0,17,3450,11,6654,29200,2076,10,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
88,1133,9,6,3150,3152,1575,0,350.0,694.5097192,1576,0,525.3333333,813.8429005,13239.188,80.92857143,204.1750622,787,2,1133,141.625,294.4199806,868,2,1032,206.4,325.5046851,787,45,0,0,0,0,304,208,7943.512798,5295.675199,0,1576,393.875,704.585067,496440.1167,0,0,0,1,0,0,0,0,0,420.1333333,350.0,525.3333333,304,0,0,0,0,0,0,9,3150,6,3152,29200,2081,2,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
389,118034439,106,61,17896,27110,1313,0,168.8301887,225.3205747,3069,0,444.4262295,470.0420357,1.414841307,711050.8373,4579006.975,49000000,0,118000000,1124137.514,5726832.073,49000000,1,118000000,1966591.283,7492250.658,49000000,2,0,0,0,0,3408,1968,0.898042986,0.516798322,0,3069,267.8928571,359.6417718,129342.204,0,0,0,1,0,0,0,0,0,269.497006,168.8301887,444.4262295,3408,0,0,0,0,0,0,106,17896,61,27110,29200,2078,58,32,1675639.6,1059676.363,3343206,636188,21900000.0,16800000.0,49000000,6604342,Normal
53,214,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,18691.58879,71.33333333,39.55165399,117,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,64,64,9345.794393,9345.794393,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,190,2,2,102,224,51,51,51.0,0.0,112,112,112.0,0.0,21052.63158,63.33333333,107.0996421,187,1,187,187.0,0.0,187,187,1,1.0,0.0,1,1,0,0,0,0,64,64,10526.31579,10526.31579,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51.0,112.0,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,197,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,20304.56853,65.66666667,28.88482877,99,48,50,50.0,0.0,50,50,48,48.0,0.0,48,48,0,0,0,0,64,64,10152.28426,10152.28426,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,210,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,19047.61905,70.0,36.37306696,112,49,49,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0,0,0,64,64,9523.809524,9523.809524,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,202,2,2,102,224,51,51,51.0,0.0,112,112,112.0,0.0,19801.9802,67.33333333,32.62412195,105,48,48,48.0,0.0,48,48,49,49.0,0.0,49,49,0,0,0,0,64,64,9900.990099,9900.990099,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51.0,112.0,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,350,4,4,116,116,29,29,29.0,0.0,29,29,29.0,0.0,22857.14286,50.0,40.24922359,101,1,202,67.33333333,113.1650712,198,1,246,82.0,58.88972746,150,48,0,0,0,0,128,128,11428.57143,11428.57143,29,29,29.0,0.0,0.0,0,0,0,0,0,0,0,0,1,32.625,29.0,29.0,128,0,0,0,0,0,0,4,116,4,116,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,163,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,24539.8773,54.33333333,91.51138363,160,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,64,64,12269.93865,12269.93865,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,191,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,20942.40838,63.66666667,68.19335256,138,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,64,64,10471.20419,10471.20419,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,163,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,24539.8773,54.33333333,53.78041775,111,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,64,64,12269.93865,12269.93865,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,203,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,19704.4335,67.66666667,34.93326972,108,47,47,47.0,0.0,47,47,48,48.0,0.0,48,48,0,0,0,0,64,64,9852.216749,9852.216749,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,171,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,23391.81287,57.0,59.01694672,120,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,11695.90643,11695.90643,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,167,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,23952.09581,55.66666667,93.82075108,164,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,64,64,11976.0479,11976.0479,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,163,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,24539.8773,54.33333333,92.37604307,161,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,12269.93865,12269.93865,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,162,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,24691.35802,54.0,91.7986928,160,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,12345.67901,12345.67901,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
88,14114,2,2,500,2860,250,250,250.0,0.0,1430,1430,1430.0,0.0,283.4065467,4704.666667,8065.583323,14018,47,49,49.0,0.0,49,49,47,47.0,0.0,47,47,0,0,0,0,64,64,141.7032733,141.7032733,250,1430,722.0,646.3126179,417720.0,0,0,0,0,0,0,0,0,1,902.5,250.0,1430.0,64,0,0,0,0,0,0,2,500,2,2860,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,205,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,19512.19512,68.33333333,34.35597959,108,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,64,64,9756.097561,9756.097561,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,197,2,2,102,224,51,51,51.0,0.0,112,112,112.0,0.0,20304.56853,65.66666667,30.59956427,101,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,10152.28426,10152.28426,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51.0,112.0,40,0,0,0,0,0,0,2,102,2,224,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,166,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,24096.38554,55.33333333,94.10809388,164,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,12048.19277,12048.19277,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,236,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,16949.15254,78.66666667,134.5226127,234,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,8474.576271,8474.576271,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
88,411,2,2,352,358,176,176,176.0,0.0,179,179,179.0,0.0,9732.360097,137.0,153.2873119,314,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,64,64,4866.180049,4866.180049,176,179,177.2,1.643167673,2.7,0,0,0,0,0,0,0,0,1,221.5,176.0,179.0,64,0,0,0,0,0,0,2,352,2,358,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,201,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,19900.49751,67.0,32.04684072,104,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,64,64,9950.248756,9950.248756,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,204,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,19607.84314,68.0,34.64101615,108,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,64,64,9803.921569,9803.921569,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,244,2,2,80,180,40,40,40.0,0.0,90,90,90.0,0.0,16393.44262,81.33333333,99.28914006,193,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,28,28,8196.721311,8196.721311,40,90,60.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,75.0,40.0,90.0,28,0,0,0,0,0,0,2,80,2,180,-1,-1,1,14,0.0,0.0,0,0,0.0,0.0,0,0,Normal
88,674,2,2,500,2860,250,250,250.0,0.0,1430,1430,1430.0,0.0,5934.718101,224.6666667,384.806878,669,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,2967.35905,2967.35905,250,1430,722.0,646.3126179,417720.0,0,0,0,0,0,0,0,0,1,902.5,250.0,1430.0,64,0,0,0,0,0,0,2,500,2,2860,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,208,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,19230.76923,69.33333333,35.21836642,110,49,49,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0,0,0,64,64,9615.384615,9615.384615,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,210,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,19047.61905,70.0,36.37306696,112,49,49,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0,0,0,64,64,9523.809524,9523.809524,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
53,162,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,24691.35802,54.0,91.7986928,160,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,12345.67901,12345.67901,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal
